method,pair,window_start,window_end,entry_time,exit_time,side,beta,w_a,w_b,qty_a,qty_b,entry_price_a,entry_price_b,exit_price_a,exit_price_b,fee,pnl,pnl_pct,capital_per_leg,bars_held
SDR,NEAR_USDT_USDT-SUI_USDT_USDT,2025-01-23 23:35:00+00:00,2025-01-24 16:15:00+00:00,2025-01-24 07:55:00+00:00,2025-01-24 16:15:00+00:00,shortA_longB,0.8791002732871763,0.5247599949278907,0.4752400050721092,98.03418352273242,129.48670035399033,5.1165116,4.4064406,4.9824982,4.186518609999999,0.6308166343531213,-15.969895204631115,-1.5969895204631115,1000.0,100
SDR,ETC_USDT_USDT-UNI_USDT_USDT,2025-01-24 02:55:00+00:00,2025-01-24 19:35:00+00:00,2025-01-24 18:15:00+00:00,2025-01-24 19:35:00+00:00,longA_shortB,1.7958471733048524,0.4933754196875485,0.5066245803124514,18.59545430062396,22.610423368121317,26.989698699999998,12.3602359,27.213721099999997,12.4222421,0.47048386065587644,2.293328007411785,0.2293328007411785,1000.0,16
SDR,DOT_USDT_USDT-NEAR_USDT_USDT,2025-01-24 14:05:00+00:00,2025-01-25 06:45:00+00:00,2025-01-24 22:25:00+00:00,2025-01-25 06:45:00+00:00,shortA_longB,0.9361206321607379,0.48614628214378064,0.5138537178562195,78.85900983030284,108.42868641858598,6.3346333999999995,4.9214921,6.310631,4.9044904,0.6187834214620176,-0.5694499217940348,-0.05694499217940347,1000.0,100
SDR,APT_USDT_USDT-SUI_USDT_USDT,2025-01-24 21:30:00+00:00,2025-01-25 14:10:00+00:00,2025-01-25 09:55:00+00:00,2025-01-25 14:10:00+00:00,shortA_longB,0.6553343698795545,0.4833753145023334,0.5166246854976666,60.32744509339887,181.89951446188408,8.23072299,4.1654165,8.1878187,4.18681864,0.7529268566863925,5.7284182170052285,0.5728418217005229,1000.0,51
SDR,BTC_USDT_USDT-TON_USDT_USDT,2025-01-26 01:45:00+00:00,2025-01-26 18:25:00+00:00,2025-01-26 10:05:00+00:00,2025-01-26 18:25:00+00:00,shortA_longB,10.0,0.6409458501647864,0.3590541498352136,0.003661295932053673,7.593970579585997,105066.80563,5.06560651,101085.00748999999,4.83018297,0.24897933868039246,12.54176255705855,1.254176255705855,1000.0,100
SDR,DOGE_USDT_USDT-POL_USDT_USDT,2025-01-26 20:35:00+00:00,2025-01-27 13:15:00+00:00,2025-01-27 04:55:00+00:00,2025-01-27 13:15:00+00:00,shortA_longB,0.7356330054868004,0.4890697035294041,0.5109302964705958,1553.1131684611985,1664.8785062159811,0.320862083,0.406890685,0.332963293,0.41722171799999996,0.7162535483401191,-2.310887364946427,-0.2310887364946427,1000.0,100
SDR,ADA_USDT_USDT-APT_USDT_USDT,2025-01-28 04:50:00+00:00,2025-01-28 21:30:00+00:00,2025-01-28 20:15:00+00:00,2025-01-28 21:30:00+00:00,shortA_longB,0.1066767050636074,0.5156147117407157,0.4843852882592844,541.0102760632328,651.7367234176832,0.94749474,7.37293722,0.9411941100000001,7.40003993,3.1949675397004054,17.87756944711171,1.7877569447111712,1000.0,15
SDR,XRP_USDT_USDT-ZEC_USDT_USDT,2025-01-28 17:25:00+00:00,2025-01-29 10:05:00+00:00,2025-01-29 05:30:00+00:00,2025-01-29 10:05:00+00:00,shortA_longB,0.1,0.540975006491975,0.45902499350802495,174.90300585089057,128.67140813936356,3.05040501,41.464146,3.03170314,41.734173,3.530707157370949,34.485060446309454,3.4485060446309452,1000.0,55
SDR,AAVE_USDT_USDT-ETH_USDT_USDT,2025-01-29 15:00:00+00:00,2025-01-30 07:40:00+00:00,2025-01-30 06:25:00+00:00,2025-01-30 07:40:00+00:00,shortA_longB,0.158823226251686,0.3600454884919352,0.6399545115080648,1.2621784234734654,0.7733023277485048,315.651562,3243.884356,316.851682,3267.72674,1.7501327895850696,15.172472687109728,1.5172472687109728,1000.0,15
SDR,ADA_USDT_USDT-SOL_USDT_USDT,2025-01-30 07:35:00+00:00,2025-01-31 00:15:00+00:00,2025-01-30 15:55:00+00:00,2025-01-31 00:15:00+00:00,shortA_longB,0.1,0.5689624294649154,0.4310375705350846,578.4655532428042,23.293622319821182,0.96189618,238.873885,0.94889488,235.24352199999998,3.644771586469574,-80.68827199494729,-8.068827199494729,1000.0,100
SDR,TAO_USDT_USDT-XLM_USDT_USDT,2025-01-30 18:45:00+00:00,2025-01-31 11:25:00+00:00,2025-01-31 03:05:00+00:00,2025-01-31 11:25:00+00:00,shortA_longB,10.0,0.3553413394486707,0.6446586605513294,1.3558809157255216,146.26591038512373,456.05560099999997,0.422762272,467.54675,0.413321328,0.41237559910565885,-17.373893497019054,-1.7373893497019055,1000.0,100
SDR,HBAR_USDT_USDT-SUI_USDT_USDT,2025-01-30 21:20:00+00:00,2025-01-31 14:00:00+00:00,2025-01-31 12:55:00+00:00,2025-01-31 14:00:00+00:00,longA_shortB,0.1,0.5339604444016585,0.4660395555983415,1731.634876106862,1291.595596667386,0.304790476,4.08630859,0.305700567,4.08220818,3.482270361913606,3.389746454647636,0.33897464546476364,1000.0,13
SDR,AVAX_USDT_USDT-SOL_USDT_USDT,2025-02-01 03:55:00+00:00,2025-02-01 20:35:00+00:00,2025-02-01 12:15:00+00:00,2025-02-01 20:35:00+00:00,shortA_longB,0.18306474486637866,0.4904117480443067,0.5095882519556932,15.143033446548513,12.375264158222834,32.5812578,217.78177599999998,30.926092299999997,209.850983,1.8761286846001826,-74.95756051771102,-7.495756051771102,1000.0,100
SDR,ENA_USDT_USDT-XRP_USDT_USDT,2025-02-02 08:00:00+00:00,2025-02-03 00:40:00+00:00,2025-02-02 16:20:00+00:00,2025-02-03 00:40:00+00:00,shortA_longB,0.26892297958008354,0.4776660879567248,0.5223339120432753,868.5517763847563,753.4899646169723,0.56085608,2.40404038,0.57625762,2.32673265,1.3656696381216207,-72.99330330650116,-7.2993303306501165,1000.0,100
SDR,BCH_USDT_USDT-LTC_USDT_USDT,2025-02-02 17:55:00+00:00,2025-02-03 10:35:00+00:00,2025-02-03 07:55:00+00:00,2025-02-03 10:35:00+00:00,longA_shortB,3.5011967726466366,0.5579530900647467,0.4420469099352532,1.4030963062389008,1.2888022107763077,333.403337,103.670366,334.773474,102.950294,0.3611428736485944,2.489321675610774,0.2489321675610774,1000.0,32
SDR,LINK_USDT_USDT-XRP_USDT_USDT,2025-02-03 21:55:00+00:00,2025-02-04 14:35:00+00:00,2025-02-04 11:15:00+00:00,2025-02-04 14:35:00+00:00,shortA_longB,6.1974451493204565,0.4680250578354899,0.5319749421645101,24.78733506678584,31.38669101935159,21.1031101,2.68916889,19.593959199999997,2.47964794,0.3513011849262413,30.480358519984197,3.04803585199842,1000.0,40
SDR,BCH_USDT_USDT-ETC_USDT_USDT,2025-02-04 08:40:00+00:00,2025-02-05 01:20:00+00:00,2025-02-04 17:00:00+00:00,2025-02-05 01:20:00+00:00,shortA_longB,10.0,0.5131020880850256,0.4868979119149745,1.4690744899103731,2.358081585915807,333.053302,20.7490747,332.013198,21.052105,0.3226808464092314,1.9198795772490274,0.19198795772490274,1000.0,100
SDR,AAVE_USDT_USDT-APT_USDT_USDT,2025-02-04 22:35:00+00:00,2025-02-05 15:15:00+00:00,2025-02-05 06:55:00+00:00,2025-02-05 15:15:00+00:00,longA_shortB,10.0,0.45575375679108343,0.5442462432089165,1.9972726006954742,8.76130169018209,268.466844,6.12011195,258.645862,5.97389733,0.3476241087354571,-18.681771971923474,-1.8681771971923475,1000.0,100
SDR,AAVE_USDT_USDT-AVAX_USDT_USDT,2025-02-05 12:50:00+00:00,2025-02-06 05:30:00+00:00,2025-02-06 02:15:00+00:00,2025-02-06 05:30:00+00:00,shortA_longB,6.164278423828102,0.4486360773251541,0.5513639226748459,2.0185374379620105,3.261331636991532,266.046602,26.712671,260.396037,26.291628900000003,0.3706526327764429,9.662066444126078,0.9662066444126078,1000.0,39
SDR,AAVE_USDT_USDT-ADA_USDT_USDT,2025-02-05 22:20:00+00:00,2025-02-06 15:00:00+00:00,2025-02-06 06:40:00+00:00,2025-02-06 15:00:00+00:00,longA_shortB,10.0,0.47194087313909505,0.528059126860905,2.0607912702528495,71.24048731797794,253.765374,0.7340734,243.844382,0.71047104,0.33851396730465777,-19.102164044898693,-1.9102164044898693,1000.0,100
SDR,SOL_USDT_USDT-ZEC_USDT_USDT,2025-02-06 21:20:00+00:00,2025-02-07 14:00:00+00:00,2025-02-07 05:40:00+00:00,2025-02-07 14:00:00+00:00,longA_shortB,6.210353707049534,0.6123638181085268,0.38763618189147325,2.0985299839942324,2.141982169911006,199.56995500000002,31.483148,189.71896999999998,29.482948,0.2842568316451394,-16.672451489766644,-1.6672451489766644,1000.0,100
SDR,AVAX_USDT_USDT-DOT_USDT_USDT,2025-02-07 13:00:00+00:00,2025-02-08 05:40:00+00:00,2025-02-07 22:25:00+00:00,2025-02-08 05:40:00+00:00,longA_shortB,5.177087247300591,0.5350035004698329,0.4649964995301672,19.71121990678598,20.166177806378027,24.1654163,4.562456200000001,24.3964394,4.5884588,0.34252571872960796,3.6868483538896544,0.36868483538896546,1000.0,87
SDR,BCH_USDT_USDT-LTC_USDT_USDT,2025-02-08 14:05:00+00:00,2025-02-09 06:45:00+00:00,2025-02-08 22:45:00+00:00,2025-02-09 06:45:00+00:00,shortA_longB,1.5946614554422065,0.4578073257972951,0.5421926742027049,1.5622422080499363,3.008077896304544,326.242621,106.25062399999999,323.972394,106.230622,0.49648604406380126,2.989990823108889,0.29899908231088895,1000.0,96
SDR,APT_USDT_USDT-WLD_USDT_USDT,2025-02-08 22:40:00+00:00,2025-02-09 15:20:00+00:00,2025-02-09 07:00:00+00:00,2025-02-09 15:20:00+00:00,shortA_longB,2.887070867389435,0.5232385493977275,0.4767614506022725,83.62329129750489,137.17588174687245,5.8442843700000005,1.23402339,5.84118406,1.20422041,0.3934936720945596,-4.222485606036331,-0.42224856060363314,1000.0,100
SDR,DOT_USDT_USDT-NEAR_USDT_USDT,2025-02-09 04:35:00+00:00,2025-02-09 21:15:00+00:00,2025-02-09 19:30:00+00:00,2025-02-09 21:15:00+00:00,shortA_longB,0.813953862922391,0.4979049482756376,0.5020950517243624,103.9166458436348,193.25150911312787,4.8094809000000005,3.1773177,4.7834783000000005,3.1783178,0.6675312886580421,2.227842520819641,0.22278425208196412,1000.0,21
SDR,ETH_USDT_USDT-LTC_USDT_USDT,2025-02-09 14:00:00+00:00,2025-02-10 06:40:00+00:00,2025-02-10 02:05:00+00:00,2025-02-10 06:40:00+00:00,shortA_longB,3.509813033094912,0.698538231346093,0.3014617686539069,0.14659696971290606,0.9490765845959482,2657.0056739999995,116.931692,2641.1240860000003,117.431742,0.29973558463699923,2.5030428365189534,0.25030428365189533,1000.0,55
SDR,ADA_USDT_USDT-NEAR_USDT_USDT,2025-02-09 18:25:00+00:00,2025-02-10 11:05:00+00:00,2025-02-10 07:05:00+00:00,2025-02-10 11:05:00+00:00,shortA_longB,0.21861811144983645,0.5028452294948647,0.4971547705051354,711.0304562393153,711.4720109351664,0.70577057,3.2263226,0.70457045,3.2443244,1.6819438956135666,11.979154821981027,1.1979154821981026,1000.0,48
